2024-11-08 05:58:54.086787|INFO    |PktHandler    |1  |Dropping client 1717 because of ping timeout 19 0 0
2024-11-08 06:08:55.645660|INFO    |PktHandler    |1  |Dropping client 1718 because of ping timeout 19 0 0
2024-11-08 06:26:07.437171|INFO    |PktHandler    |1  |Dropping client 1719 because of ping timeout 19 0 0
2024-11-08 06:45:30.557998|INFO    |PktHandler    |1  |Dropping client 1720 because of ping timeout 19 0 0
2024-11-08 07:01:32.209791|INFO    |PktHandler    |1  |Dropping client 1721 because of ping timeout 19 0 0
2024-11-08 07:20:55.069894|INFO    |PktHandler    |1  |Dropping client 1722 because of ping timeout 19 0 0
2024-11-08 12:15:34.335259|INFO    |PktHandler    |1  |Dropping client 1723 because of ping timeout 19 0 0
2024-11-08 14:50:57.359947|INFO    |PktHandler    |1  |Dropping client 1735 because of ping timeout 19 0 0
2024-11-09 16:00:00.896072|INFO    |PktHandler    |1  |Dropping client 1739 because of ping timeout 19 0 0
2024-11-10 13:41:14.504512|INFO    |PktHandler    |1  |Dropping client 1763 because of ping timeout 19 0 0
2024-11-10 13:59:26.918062|INFO    |PktHandler    |1  |Dropping client 1775 because of ping timeout 19 0 0
2024-11-10 14:16:24.900151|INFO    |PktHandler    |1  |Dropping client 1776 because of ping timeout 19 0 0
2024-11-10 14:32:43.615751|INFO    |PktHandler    |1  |Dropping client 1777 because of ping timeout 19 0 0
2024-11-10 14:39:14.155099|INFO    |PktHandler    |1  |Cleaning up connection because of 8 resends of COMMAND packet
2024-11-10 14:39:14.155099|INFO    |PktHandler    |1  |Dropping client 1752 because of resend timeout
2024-11-10 14:50:00.886893|INFO    |PktHandler    |1  |Dropping client 1778 because of ping timeout 19 0 0
2024-11-10 15:05:48.785907|INFO    |PktHandler    |1  |Dropping client 1779 because of ping timeout 19 0 0
2024-11-10 15:22:10.930112|INFO    |PktHandler    |1  |Dropping client 1781 because of ping timeout 19 0 0
2024-11-10 15:31:51.591677|INFO    |PktHandler    |1  |Dropping client 1782 because of ping timeout 19 0 0
2024-11-10 15:40:46.356662|INFO    |PktHandler    |1  |Dropping client 1783 because of ping timeout 19 0 0
2024-11-10 15:57:02.875954|INFO    |PktHandler    |1  |Dropping client 1784 because of ping timeout 19 0 0
2024-11-10 21:00:38.963482|INFO    |PktHandler    |1  |Dropping client 1761 because of ping timeout 19 0 0
2024-11-10 23:57:34.778070|INFO    |PktHandler    |1  |Dropping client 1785 because of ping timeout 19 0 0
2024-11-11 00:14:13.282004|INFO    |PktHandler    |1  |Dropping client 1787 because of ping timeout 19 0 0
2024-11-11 00:32:04.431339|INFO    |PktHandler    |1  |Dropping client 1788 because of ping timeout 19 0 0
2024-11-11 00:51:00.194843|INFO    |PktHandler    |1  |Dropping client 1789 because of ping timeout 19 0 0
